identifier	propertyfile	expected_result	sources	fingerprint
../bench-defs/sv-benchmarks/java/jayhorn-recursive/Ackermann01.yml	../bench-defs/sv-benchmarks/java/properties/valid-assert.prp	false	['../bench-defs/sv-benchmarks/java/common', '../bench-defs/sv-benchmarks/java/jayhorn-recursive/Ackermann01']	298d8fadb857d14fffded08632affd4be2f52424aee791cbce20b9658b7d5b7d
../bench-defs/sv-benchmarks/java/jayhorn-recursive/Addition.yml	../bench-defs/sv-benchmarks/java/properties/valid-assert.prp	true	['../bench-defs/sv-benchmarks/java/common', '../bench-defs/sv-benchmarks/java/jayhorn-recursive/Addition']	9a5c5d5df7ef8843958e78d6d6cdade87f59b156168fae2d87a0d6c1109ad8c9
../bench-defs/sv-benchmarks/java/jayhorn-recursive/InfiniteLoop.yml	../bench-defs/sv-benchmarks/java/properties/valid-assert.prp	false	['../bench-defs/sv-benchmarks/java/common', '../bench-defs/sv-benchmarks/java/jayhorn-recursive/InfiniteLoop']	f6c36453003aef9da52bb0ee81084b4796741f9d3adb00ffcd2ed22ae7fd470a
../bench-defs/sv-benchmarks/java/jayhorn-recursive/SatAckermann01.yml	../bench-defs/sv-benchmarks/java/properties/valid-assert.prp	true	['../bench-defs/sv-benchmarks/java/common', '../bench-defs/sv-benchmarks/java/jayhorn-recursive/SatAckermann01']	7adcb716d5c73519457010f8f01a4aa57cc08b1969491df9cf4ec4ad3e82dc8c
../bench-defs/sv-benchmarks/java/jayhorn-recursive/SatAckermann02.yml	../bench-defs/sv-benchmarks/java/properties/valid-assert.prp	true	['../bench-defs/sv-benchmarks/java/common', '../bench-defs/sv-benchmarks/java/jayhorn-recursive/SatAckermann02']	a98c9f271ed3e1cb908e4ef0c0eb2312b3d89494dff899fffcde61f40d7ebf25
../bench-defs/sv-benchmarks/java/jayhorn-recursive/SatAckermann03.yml	../bench-defs/sv-benchmarks/java/properties/valid-assert.prp	true	['../bench-defs/sv-benchmarks/java/common', '../bench-defs/sv-benchmarks/java/jayhorn-recursive/SatAckermann03']	890dc9da46c40c1cfe92cf46ddfcccb0c2eca9a17080c95bd66bfe4b7dd788cd
../bench-defs/sv-benchmarks/java/jayhorn-recursive/SatAddition01.yml	../bench-defs/sv-benchmarks/java/properties/valid-assert.prp	true	['../bench-defs/sv-benchmarks/java/common', '../bench-defs/sv-benchmarks/java/jayhorn-recursive/SatAddition01']	7362434fb51960640fc8ccb7473f1448e5a4f85a0177a1e2f5416455ba1c6555
../bench-defs/sv-benchmarks/java/jayhorn-recursive/SatEvenOdd01.yml	../bench-defs/sv-benchmarks/java/properties/valid-assert.prp	true	['../bench-defs/sv-benchmarks/java/common', '../bench-defs/sv-benchmarks/java/jayhorn-recursive/SatEvenOdd01']	674f7646e1bfe05382adabd7da76f0247e4de5a3e014dca0f0d91ee4fa75e0ae
../bench-defs/sv-benchmarks/java/jayhorn-recursive/SatFibonacci01.yml	../bench-defs/sv-benchmarks/java/properties/valid-assert.prp	true	['../bench-defs/sv-benchmarks/java/common', '../bench-defs/sv-benchmarks/java/jayhorn-recursive/SatFibonacci01']	8351bfd634baf1847dd9fc85fcfcd4ee6862913001338ded9d6f6f639391682c
../bench-defs/sv-benchmarks/java/jayhorn-recursive/SatFibonacci02.yml	../bench-defs/sv-benchmarks/java/properties/valid-assert.prp	true	['../bench-defs/sv-benchmarks/java/common', '../bench-defs/sv-benchmarks/java/jayhorn-recursive/SatFibonacci02']	04018fecd0dfd1a6747f999abf98284e0fb90c4ac7a6702576a14489a04615ae
../bench-defs/sv-benchmarks/java/jayhorn-recursive/SatFibonacci03.yml	../bench-defs/sv-benchmarks/java/properties/valid-assert.prp	true	['../bench-defs/sv-benchmarks/java/common', '../bench-defs/sv-benchmarks/java/jayhorn-recursive/SatFibonacci03']	1038fb1b4ab29d76c50221bb2e2896c2eacdb26c060c598a250ca184c171cac5
../bench-defs/sv-benchmarks/java/jayhorn-recursive/SatGcd.yml	../bench-defs/sv-benchmarks/java/properties/valid-assert.prp	true	['../bench-defs/sv-benchmarks/java/common', '../bench-defs/sv-benchmarks/java/jayhorn-recursive/SatGcd']	67b8b6b5da4d4d94051afac1b942e21714390725405b4c5b9ffddd71ec8d8084
../bench-defs/sv-benchmarks/java/jayhorn-recursive/SatHanoi01.yml	../bench-defs/sv-benchmarks/java/properties/valid-assert.prp	true	['../bench-defs/sv-benchmarks/java/common', '../bench-defs/sv-benchmarks/java/jayhorn-recursive/SatHanoi01']	618618b2cd3625f6ee878084a3349e8c2e9e3ed98d220548bbca6c19760c1791
../bench-defs/sv-benchmarks/java/jayhorn-recursive/SatMccarthy91.yml	../bench-defs/sv-benchmarks/java/properties/valid-assert.prp	true	['../bench-defs/sv-benchmarks/java/common', '../bench-defs/sv-benchmarks/java/jayhorn-recursive/SatMccarthy91']	46bf5fc4591c9591d75a4064392fc15e45fec7ebf142f9b6187809a231bf813e
../bench-defs/sv-benchmarks/java/jayhorn-recursive/SatMultCommutative01.yml	../bench-defs/sv-benchmarks/java/properties/valid-assert.prp	true	['../bench-defs/sv-benchmarks/java/common', '../bench-defs/sv-benchmarks/java/jayhorn-recursive/SatMultCommutative01']	1be2d7943834ba9314e383355d67eef60bfb1dde15d362b35f0244920187a6b9
../bench-defs/sv-benchmarks/java/jayhorn-recursive/SatPrimes01.yml	../bench-defs/sv-benchmarks/java/properties/valid-assert.prp	true	['../bench-defs/sv-benchmarks/java/common', '../bench-defs/sv-benchmarks/java/jayhorn-recursive/SatPrimes01']	2ffb08e89290e2e8fd54411728917c40179d9c4332e87f946b0983ea70c5c73b
../bench-defs/sv-benchmarks/java/jayhorn-recursive/UnsatAckermann01.yml	../bench-defs/sv-benchmarks/java/properties/valid-assert.prp	false	['../bench-defs/sv-benchmarks/java/common', '../bench-defs/sv-benchmarks/java/jayhorn-recursive/UnsatAckermann01']	9d66ec665bafd2e2571654a1f747612dbe6c2b85514e89cfa67d69c21196789d
